Datetime;Price;Source;Tag;Note;Link
2021-05-01 00:00:00;132;planify;;;
2021-11-07 00:00:00;175;planify;;;
2022-05-16 00:00:00;215;planify;;;
2022-11-30 00:00:00;190;planify;;;
2023-07-13 00:00:00;118;planify;;;
2023-11-06 00:00:00;127;planify;;;
2024-02-08 00:00:00;165;planify;;;
2024-05-04 00:00:00;165;planify;;;
2024-07-17 00:00:00;165;planify;;;
2024-09-07 00:00:00;300;planify;;;
2024-11-01 00:00:00;300;planify;;;
2024-12-03 00:00:00;355.3;planify;;;
2025-01-03 00:00:00;330;planify;;;
2025-02-12 00:00:00;275;planify;;;
2025-04-16 00:00:00;270;planify;;;
2025-05-08 00:00:00;270;planify;;;
2025-05-28 00:00:00;282;planify;;;
2025-06-16 00:00:00;282;planify;;;
2025-07-07 00:00:00;282;planify;;;
2025-07-27 00:00:00;282;planify;;;
2025-08-13 00:00:00;282;planify;;;
2025-08-30 00:00:00;282;planify;;;
2025-09-20 00:00:00;282;planify;;;
2025-10-11 00:00:00;282;planify;;;
2025-10-28 00:00:00;282;planify;;;
2025-11-12 00:00:00;282;planify;;;
2025-11-30 00:00:00;282;planify;;;
2025-12-16 00:00:00;282;planify;;;
2026-01-02 00:00:00;282;planify;;;
2026-01-21 00:00:00;282;planify;;;
2026-04-17 00:00:00;282;planify;;;
2026-04-23 00:00:00;282;planify;;;
